PROVINCE,DIVISION,DISTRICT,TEHSIL,NOW_POPULATION,POPULATION 1998,FEMALE_POPULATION,MALE_POPULATION,AREA (sq.km),AVG_HOUSEHOLD_SIZE,TRANSGENDER_POPULATION,SEX_RATIO,ANNUAL_GROWTH_RATE,Population Density,POPULATION_INCREASE
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,YAZMAN TEHSIL,613305,406798,299607,313645,18374.0,12.59,53,104.771037,2.02453,33.37895939915097,206507
PUNJAB,BAHAWALPUR DIVISION,RAHIM YAR KHAN DISTRICT,KHANPUR TEHSIL,982085,683865,481300,500670,3190.0,13.87,115,104.1710356,1.8234,307.8636363636364,298220
PUNJAB,BAHAWALPUR DIVISION,RAHIM YAR KHAN DISTRICT,LIAQUATPUR TEHSIL,1033906,698985,506794,526980,3262.0,13.36,132,104.0710234,2.06243,316.9546290619252,334921
PUNJAB,BAHAWALPUR DIVISION,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN TEHSIL,1530183,985655,745707,784275,2464.0,13.0,201,105.5710433,2.05303,621.015827922078,544528
PUNJAB,BAHAWALPUR DIVISION,RAHIM YAR KHAN DISTRICT,SADIQABAD TEHSIL,1261588,772548,611612,649855,2964.0,13.55,121,106.9110378,2.6265,425.6369770580297,489040
PUNJAB,D.G.KHAN DIVISION,DERA GHAZI KHAN DISTRICT,DE-EXCLUDED AREA D.G KHAN,212652,126198,103213,109429,5339.0,7.35,10,106.0200,2.78,39.8299306986327,86454
PUNJAB,D.G.KHAN DIVISION,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,1224964,712930,612899,611983,2012.0,16.56,82,98.3910295,2.45394,608.8290258449305,512034
PUNJAB,D.G.KHAN DIVISION,DERA GHAZI KHAN DISTRICT,KOT CHHUTTA TEHSIL,757230,438306,377704,379475,1802.0,17.96,51,100.510007,2.53,420.21642619311876,318924
PUNJAB,D.G.KHAN DIVISION,DERA GHAZI KHAN DISTRICT,TAUNSA TEHSIL,677785,365684,327311,350440,2769.0,14.18,34,106.9910755,3.06501,244.7760924521488,312101
PUNJAB,D.G.KHAN DIVISION,LAYYAH DISTRICT,CHOUBARA TEHSIL,252540,161010,124003,128526,2754.0,13.61,11,103.8610278,1.26,91.69934640522875,91530
PUNJAB,D.G.KHAN DIVISION,LAYYAH DISTRICT,LAYYAH TEHSIL,977088,591042,479594,497417,1712.0,12.42,77,103.7310365,2.55322,570.7289719626168,386046
PUNJAB,D.G.KHAN DIVISION,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,640384,398053,310457,329881,1391.0,13.46,46,106.5610232,2.54235,460.37670740474476,242331
